Actual,Predicted,Probability
0,0,0.20368570167371028
0,1,0.8171841503332935
0,0,0.02448385832314678
0,1,0.8049204437749975
0,1,0.9556561425742717
0,0,0.10319616915808945
1,1,0.89741646348244
0,0,0.10588913024006244
1,1,0.9478759150986102
0,0,0.4374704720500052
1,1,0.8333470460449676
1,0,0.3107807317142459
0,1,0.7054329662797597
1,1,0.9457321908233861
1,0,0.2987342430889995
1,1,0.9338019335044466
1,1,0.7718615284104594
1,0,0.0964946978366362
1,1,0.9648222949117652
1,1,0.7917210239961168
0,0,0.2814166722343814
0,0,0.020768877541250744
1,1,0.653697316166453
0,0,0.055608167136072875
1,1,0.8315175169791932
0,0,0.01360894053938317
0,0,0.23663758398766485
1,0,0.23600144965982978
0,0,0.20348516801808914
1,1,0.9236900459761177
0,0,0.0890952309166235
1,1,0.6372266757193403
1,0,0.2818359400296702
0,1,0.6529356420388064
0,0,0.1497743074875963
1,1,0.8827343838564995
0,0,0.1397440779978119
1,1,0.8756043949916551
1,1,0.9257109075178198
1,1,0.9490248267607101
0,1,0.5145886190602018
1,1,0.7143862968153745
1,1,0.8100796285290065
1,1,0.8059914132445742
0,0,0.15153339348232947
0,0,0.26288943495846734
1,1,0.7550409284954741
0,0,0.2001697817806458
1,1,0.9396411965952817
0,1,0.7915013616255273
0,1,0.5491362703449127
1,1,0.9142336092120119
1,1,0.9438022616965043
0,0,0.1843429580164198
1,1,0.5444452666218772
1,1,0.701881876986468
1,0,0.03697895896413961
1,1,0.9748506927498938
0,0,0.02152723772820478
0,0,0.06822545893120012
1,1,0.626315621450428
